,0
close,16.19305880536108
low,7.694945954279787
vwap,4.743159465265638
open,2.223473074144575
close_lag_3,0.8055903794224316
close_lag_2,0.7840306747943709
close_lag_1,0.6462054161878235
high,0.5216380285847153
trade_count,0.4878642166002807
rolling_mean_5,0.37390600413562103
rolling_std_5,0.1559529326464819
return_lag_2,0.03047265049194073
vol_lag_1,0.02067632373362585
rolling_mean_10,0.02019648993070948
rolling_std_10,0.012726337955899376
month,0.012129567655757194
vol_lag_2,0.011597759902975936
sentiment_lag_1,0.008045241270799634
daily_return,0.0
volume,0.0
return_lag_1,0.0
return_lag_3,0.0
vol_lag_3,0.0
dayofweek,0.0
