,count,mean,std,min,25%,50%,75%,max
open,400.0,158.8551825,16.387482859651822,126.01,146.3475,158.38,171.0375,196.235
high,400.0,160.8047005,16.154514585863044,127.77,148.36374999999998,160.351,172.71125,198.23
low,400.0,157.0791115,16.57419259196225,124.17,144.4375,154.95749999999998,169.43125,195.28
close,400.0,159.00912499999998,16.34319409087787,125.02,146.5975,157.54500000000002,171.585,196.45
volume,400.0,84928302.2475,28801911.262324303,31357392.0,64473564.25,80932716.0,98021646.25,220048084.0
vwap,400.0,158.9850476375,16.367108955599505,125.660032,146.4815345,157.9090695,171.265303,196.200202
trade_count,400.0,666461.6975,196473.03320271635,319573.0,534591.25,614657.0,734080.0,1678459.0
daily_return,399.0,0.014852854778491647,1.9663923347502794,-5.867955699687943,-1.0764085124179257,0.0,1.1906763844219292,8.897456810261728
rolling_mean_5,396.0,158.78433333333334,16.047758145728565,127.19800000000001,146.334,157.82,170.365,195.121
rolling_std_5,396.0,2.625602829152908,1.329230265774685,0.550799419029206,1.627510981944556,2.3245352372753665,3.3488797024027277,7.759808631660957
rolling_mean_10,391.0,158.46925191815856,15.663170935877025,128.256,145.95,157.829,169.20299999999997,194.2145
rolling_std_10,391.0,3.5742817786112737,1.4180763893821766,1.0075394946843366,2.5494953399979456,3.3079003075123645,4.31660242559418,7.946687639793345
close_lag_1,399.0,158.9593984962406,16.333386770079336,125.02,146.565,157.44,171.54000000000002,196.45
close_lag_2,398.0,158.90153266331657,16.312943124651024,125.02,146.5325,157.42000000000002,171.24,196.45
close_lag_3,397.0,158.82025188916876,16.25263243827797,125.02,146.5,157.4,170.4,196.45
return_lag_1,398.0,0.019225272820141463,1.966924324304677,-5.867955699687943,-1.066295218358479,0.00580821281291885,1.1925427665438748,8.897456810261728
return_lag_2,397.0,0.03136943895664258,1.9544092201976526,-5.867955699687943,-1.0634950600969084,0.0116164256258377,1.1944091486658204,8.897456810261728
return_lag_3,396.0,0.0332975518247865,1.9565034971308781,-5.867955699687943,-1.0644284461840985,0.011861115179601051,1.1991274234406157,8.897456810261728
vol_lag_1,399.0,84896576.3283208,28831072.888574056,31357392.0,64471341.5,80885473.0,98284891.5,220048084.0
vol_lag_2,398.0,84818535.45728643,28825134.214176252,31357392.0,64469118.75,80882771.5,97701955.25,220048084.0
vol_lag_3,397.0,84875089.54659949,28839389.757850986,31357392.0,64475787.0,80885473.0,97758401.0,220048084.0
sentiment_lag_1,399.0,0.11818005821568557,0.05613054684077455,-0.0701226551226551,0.08158987424612421,0.1177852049910873,0.15107253857253855,0.3046875
dayofweek,400.0,2.045,1.3938551144937916,0.0,1.0,2.0,3.0,4.0
month,400.0,5.6575,3.2180870031588253,1.0,3.0,5.0,8.0,12.0
